Video_name	Comment	Like_Count
Video Streaming Problems - Computerphile	So even with the latest tech.... Musicians around the world in different locations cannot play together.  Shame... I remember simotanious broadcast many years ago where BBC 2 could broadcast a music concert on Television while simotaniously broadcasting high quality stereo audio on FM BBC 3 radio.  These days we just get internet live stream HD pictures with poor audio that is highly compressed.  So much for advancements.	13
Video Streaming Problems - Computerphile	Great video	3
Video Streaming Problems - Computerphile	this video was amazing thank you!!!!!!!!!!!!	1
Video Streaming Problems - Computerphile	This guy has to cut his nails!	28
Video Streaming Problems - Computerphile	iframe is farcical.	1
Video Streaming Problems - Computerphile	10th.. And this channel is informative	1
Video Streaming Problems - Computerphile	I just had to explain someone, that Google is not the internet, this video just saved me from insanity !!!!	50
Video Streaming Problems - Computerphile	45th	1
Video Streaming Problems - Computerphile	👉👌	1
Video Streaming Problems - Computerphile	First	1
Video Streaming Problems - Computerphile	Not first - Samuel Miller was first.	0
